Times;CH3 CH 3;CH4 CH 4;CH5 CH 5;CH6 CH 6;CH7 CH 7;CH8 CH 8
1.483 120 ms;0;0;1;1;1;0
1.485 280 ms;0;0;1;1;0;0
1.486 000 ms;0;0;0;1;0;0
1.511 840 ms;0;0;0;1;1;0
1.512 570 ms;0;0;1;1;1;0
1.512 630 ms;1;0;1;1;1;0
1.516 820 ms;1;0;1;1;0;0
1.517 530 ms;1;0;0;1;0;0
1.517 590 ms;0;0;0;1;0;0
1.568 650 ms;0;0;0;1;1;0
1.569 380 ms;0;0;1;1;1;0
1.571 550 ms;0;0;1;1;0;0
1.572 260 ms;0;0;0;1;0;0
1.654 920 ms;0;0;0;1;1;0
1.655 650 ms;0;0;1;1;1;0
1.657 820 ms;0;0;1;1;0;0
1.658 530 ms;0;0;0;1;0;0
1.741 180 ms;0;0;0;1;1;0
1.741 910 ms;0;0;1;1;1;0
1.744 080 ms;0;0;1;1;0;0
1.744 790 ms;0;0;0;1;0;0
1.788 970 ms;0;0;0;1;1;0
1.789 700 ms;0;0;1;1;1;0
1.789 760 ms;1;0;1;1;1;0
1.793 940 ms;1;0;1;1;0;0
1.794 650 ms;1;0;0;1;0;0
1.794 710 ms;0;0;0;1;0;0
1.827 450 ms;0;0;0;1;1;0
1.828 180 ms;0;0;1;1;1;0
1.830 340 ms;0;0;1;1;0;0
1.831 060 ms;0;0;0;1;0;0
1.880 640 ms;0;0;0;1;1;0
1.881 370 ms;0;0;1;1;1;0
1.883 340 ms;0;0;1;1;0;0
1.884 050 ms;0;0;0;1;0;0
1.913 720 ms;0;0;0;1;1;0
1.914 450 ms;0;0;1;1;1;0
1.916 610 ms;0;0;1;1;0;0
1.917 880 ms;0;0;0;0;0;0
2.021 540 ms;0;0;0;0;1;0
2.022 270 ms;0;0;1;0;1;0
2.022 320 ms;1;0;1;0;1;0
2.026 510 ms;1;0;1;0;0;0
2.027 230 ms;1;0;0;0;0;0
2.027 290 ms;0;0;0;0;0;0
2.298 670 ms;0;0;0;0;1;0
2.299 400 ms;0;0;1;0;1;0
2.299 460 ms;1;0;1;0;1;0
2.303 640 ms;1;0;1;0;0;0
2.304 350 ms;1;0;0;0;0;0
2.304 410 ms;0;0;0;0;0;0
2.445 100 ms;0;0;0;0;1;0
2.445 820 ms;0;0;1;0;1;0
2.447 790 ms;0;0;1;0;0;0
2.448 500 ms;0;0;0;0;0;0
2.544 820 ms;0;0;0;0;1;0
2.545 550 ms;0;0;1;0;1;0
2.545 580 ms;0;1;1;0;1;0
2.545 600 ms;1;1;1;0;1;0
2.547 590 ms;1;1;1;0;0;0
2.548 310 ms;1;1;0;0;0;0
2.548 340 ms;1;0;0;0;0;0
2.548 360 ms;0;0;0;0;0;0
2.575 810 ms;0;0;0;0;1;0
2.576 540 ms;0;0;1;0;1;0
2.576 600 ms;1;0;1;0;1;0
2.580 790 ms;1;0;1;0;0;0
2.581 500 ms;1;0;0;0;0;0
2.581 560 ms;0;0;0;0;0;0
2.852 950 ms;0;0;0;0;1;0
2.853 680 ms;0;0;1;0;1;0
2.853 740 ms;1;0;1;0;1;0
2.857 910 ms;1;0;1;0;0;0
2.858 630 ms;1;0;0;0;0;0
2.858 690 ms;0;0;0;0;0;0
3.017 630 ms;0;0;0;0;1;0
3.018 360 ms;0;0;1;0;1;0
3.020 320 ms;0;0;1;0;0;0
3.021 030 ms;0;0;0;0;0;0
3.130 090 ms;0;0;0;0;1;0
3.130 820 ms;0;0;1;0;1;0
3.130 870 ms;1;0;1;0;1;0
3.135 070 ms;1;0;1;0;0;0
3.135 780 ms;1;0;0;0;0;0
3.135 840 ms;0;0;0;0;0;0
3.407 220 ms;0;0;0;0;1;0
3.407 950 ms;0;0;1;0;1;0
3.408 010 ms;1;0;1;0;1;0
3.412 190 ms;1;0;1;0;0;0
3.412 900 ms;1;0;0;0;0;0
3.412 960 ms;0;0;0;0;0;0
3.590 160 ms;0;0;0;0;1;0
3.590 890 ms;0;0;1;0;1;0
3.592 850 ms;0;0;1;0;0;0
3.593 560 ms;0;0;0;0;0;0
3.684 360 ms;0;0;0;0;1;0
3.685 090 ms;0;0;1;0;1;0
3.685 150 ms;1;0;1;0;1;0
3.689 340 ms;1;0;1;0;0;0
3.690 050 ms;1;0;0;0;0;0
3.690 110 ms;0;0;0;0;0;0
3.961 500 ms;0;0;0;0;1;0
3.962 230 ms;0;0;1;0;1;0
3.962 290 ms;1;0;1;0;1;0
3.966 470 ms;1;0;1;0;0;0
3.967 180 ms;1;0;0;0;0;0
3.967 240 ms;0;0;0;0;0;0
4.085 000 ms;0;0;0;0;1;0
4.085 730 ms;0;0;1;0;1;0
4.085 760 ms;0;1;1;0;1;0
4.085 790 ms;1;1;1;0;1;0
4.087 780 ms;1;1;1;0;0;0
4.088 490 ms;1;1;0;0;0;0
4.088 520 ms;1;0;0;0;0;0
4.088 550 ms;0;0;0;0;0;0
4.162 690 ms;0;0;0;0;1;0
4.163 410 ms;0;0;1;0;1;0
4.165 370 ms;0;0;1;0;0;0
4.166 090 ms;0;0;0;0;0;0
4.168 740 ms;0;0;0;0;1;0
4.169 470 ms;0;0;1;0;1;0
4.169 500 ms;0;1;1;0;1;0
4.171 080 ms;0;1;1;0;0;0
4.171 790 ms;0;1;0;0;0;0
4.171 820 ms;0;0;0;0;0;0
4.238 640 ms;0;0;0;0;1;0
4.239 370 ms;0;0;1;0;1;0
4.239 420 ms;1;0;1;0;1;0
4.243 610 ms;1;0;1;0;0;0
4.244 330 ms;1;0;0;0;0;0
4.244 390 ms;0;0;0;0;0;0
4.515 780 ms;0;0;0;0;1;0
4.516 510 ms;0;0;1;0;1;0
4.516 570 ms;1;0;1;0;1;0
4.523 100 ms;1;0;1;0;0;0
4.523 810 ms;1;0;0;0;0;0
4.523 870 ms;0;0;0;0;0;0
4.735 210 ms;0;0;0;0;1;0
4.735 940 ms;0;0;1;0;1;0
4.737 900 ms;0;0;1;0;0;0
4.738 620 ms;0;0;0;0;0;0
4.767 750 ms;0;0;0;0;1;0
4.768 480 ms;0;0;1;0;1;0
4.768 510 ms;0;1;1;0;1;0
4.771 360 ms;0;1;1;0;0;0
4.772 070 ms;0;1;0;0;0;0
4.772 100 ms;0;0;0;0;0;0
4.792 910 ms;0;0;0;0;1;0
4.793 640 ms;0;0;1;0;1;0
4.793 700 ms;1;0;1;0;1;0
4.800 240 ms;1;0;1;0;0;0
4.800 960 ms;1;0;0;0;0;0
4.801 020 ms;0;0;0;0;0;0
4.829 540 ms;0;0;0;0;1;0
4.830 260 ms;0;0;1;0;1;0
4.830 290 ms;0;1;1;0;1;0
4.835 610 ms;0;1;1;0;0;0
4.836 330 ms;0;1;0;0;0;0
4.836 350 ms;0;0;0;0;0;0
4.837 830 ms;0;0;0;0;1;0
4.838 560 ms;0;0;1;0;1;0
4.838 590 ms;0;1;1;0;1;0
4.852 240 ms;0;1;1;0;0;0
4.852 950 ms;0;1;0;0;0;0
4.852 980 ms;0;0;0;0;0;0
4.854 460 ms;0;0;0;0;1;0
4.855 220 ms;0;1;0;0;1;0
4.855 240 ms;1;1;0;0;1;0
5.069 820 ms;1;1;0;0;1;1
5.070 030 ms;1;1;0;0;0;1
5.070 750 ms;1;1;1;0;0;1
5.070 790 ms;1;0;1;0;0;1
5.075 110 ms;1;0;1;0;0;0
5.075 310 ms;1;0;1;0;1;0
5.076 030 ms;1;0;0;0;1;0
5.076 050 ms;1;1;0;0;1;0
5.143 480 ms;1;1;0;0;1;1
5.143 680 ms;1;1;0;0;0;1
5.144 410 ms;1;1;1;0;0;1
5.144 440 ms;1;0;1;0;0;1
5.144 470 ms;0;0;1;0;0;1
5.146 370 ms;0;0;1;0;0;0
5.146 570 ms;0;0;1;0;1;0
5.147 280 ms;0;0;0;0;1;0
5.147 310 ms;0;1;0;0;1;0
5.147 330 ms;1;1;0;0;1;0
5.166 140 ms;1;1;0;0;1;1
5.166 350 ms;1;1;0;0;0;1
5.167 070 ms;1;1;1;0;0;1
5.167 110 ms;1;0;1;0;0;1
5.167 140 ms;0;0;1;0;0;1
5.169 040 ms;0;0;1;0;0;0
5.169 230 ms;0;0;1;0;1;0
5.169 960 ms;0;0;0;0;1;0
5.169 980 ms;0;1;0;0;1;0
5.170 000 ms;1;1;0;0;1;0
5.204 430 ms;1;1;0;0;1;1
5.204 640 ms;1;1;0;0;0;1
5.205 360 ms;1;1;1;0;0;1
5.205 400 ms;1;0;1;0;0;1
5.205 420 ms;0;0;1;0;0;1
5.207 320 ms;0;0;1;0;0;0
5.207 520 ms;0;0;1;0;1;0
5.208 240 ms;0;0;0;0;1;0
5.208 270 ms;0;1;0;0;1;0
5.208 290 ms;1;1;0;0;1;0
5.213 530 ms;1;1;0;0;0;0
5.214 270 ms;1;0;0;0;0;0
5.214 300 ms;0;0;0;0;0;0
5.307 740 ms;0;0;0;0;1;0
5.308 470 ms;0;0;1;0;1;0
5.310 440 ms;0;0;1;0;0;0
5.311 150 ms;0;0;0;0;0;0
5.347 190 ms;0;0;0;0;1;0
5.347 920 ms;0;0;1;0;1;0
5.347 980 ms;1;0;1;0;1;0
5.352 170 ms;1;0;1;0;0;0
5.352 880 ms;1;0;0;0;0;0
5.352 940 ms;0;0;0;0;0;0
5.399 300 ms;0;0;0;0;1;0
5.400 020 ms;0;0;1;0;1;0
5.402 190 ms;0;0;1;0;0;0
5.402 900 ms;0;0;0;0;0;0
5.485 560 ms;0;0;0;0;1;0
5.486 290 ms;0;0;1;0;1;0
5.488 450 ms;0;0;1;0;0;0
5.489 170 ms;0;0;0;0;0;0
5.565 650 ms;0;0;0;0;1;0
5.566 380 ms;0;0;1;0;1;0
5.566 410 ms;0;1;1;0;1;0
5.566 440 ms;1;1;1;0;1;0
5.567 790 ms;1;1;1;0;0;0
5.568 510 ms;1;1;0;0;0;0
5.568 540 ms;1;0;0;0;0;0
5.568 560 ms;0;0;0;0;0;0
5.571 830 ms;0;0;0;0;1;0
5.572 550 ms;0;0;1;0;1;0
5.574 720 ms;0;0;1;0;0;0
5.575 430 ms;0;0;0;0;0;0
5.624 330 ms;0;0;0;0;1;0
5.625 060 ms;0;0;1;0;1;0
5.625 120 ms;1;0;1;0;1;0
5.629 290 ms;1;0;1;0;0;0
5.630 010 ms;1;0;0;0;0;0
5.630 070 ms;0;0;0;0;0;0
5.650 440 ms;0;0;0;0;1;0
5.651 170 ms;0;0;1;0;1;0
5.651 200 ms;0;1;1;0;1;0
5.653 400 ms;0;1;1;0;0;0
5.654 110 ms;0;1;0;0;0;0
5.654 140 ms;0;0;0;0;0;0
5.658 090 ms;0;0;0;0;1;0
5.658 820 ms;0;0;1;0;1;0
5.660 990 ms;0;0;1;0;0;0
5.661 700 ms;0;0;0;0;0;0
5.720 850 ms;0;0;0;0;1;0
5.721 580 ms;0;0;1;0;1;0
5.721 610 ms;0;1;1;0;1;0
5.723 190 ms;0;1;1;0;0;0
5.723 900 ms;0;1;0;0;0;0
5.723 930 ms;0;0;0;0;0;0
5.744 360 ms;0;0;0;0;1;0
5.745 090 ms;0;0;1;0;1;0
5.747 250 ms;0;0;1;0;0;0
5.747 960 ms;0;0;0;0;0;0
5.822 000 ms;0;0;0;0;1;0
5.822 730 ms;0;0;1;0;1;0
5.824 890 ms;0;0;1;0;0;0
5.825 600 ms;0;0;0;0;0;0
5.880 270 ms;0;0;0;0;1;0
5.881 000 ms;0;0;1;0;1;0
5.882 970 ms;0;0;1;0;0;0
5.883 680 ms;0;0;0;0;0;0
5.901 460 ms;0;0;0;0;1;0
5.902 190 ms;0;0;1;0;1;0
5.902 250 ms;1;0;1;0;1;0
5.906 440 ms;1;0;1;0;0;0
5.907 160 ms;1;0;0;0;0;0
5.907 210 ms;0;0;0;0;0;0
5.916 890 ms;0;0;0;0;1;0
5.917 620 ms;0;0;1;0;1;0
5.919 790 ms;0;0;1;0;0;0
5.920 500 ms;0;0;0;0;0;0
6.003 160 ms;0;0;0;0;1;0
6.003 890 ms;0;0;1;0;1;0
6.006 050 ms;0;0;1;0;0;0
6.006 760 ms;0;0;0;0;0;0
6.089 420 ms;0;0;0;0;1;0
6.090 150 ms;0;0;1;0;1;0
6.092 320 ms;0;0;1;0;0;0
6.093 030 ms;0;0;0;0;0;0
6.175 690 ms;0;0;0;0;1;0
6.176 420 ms;0;0;1;0;1;0
6.178 380 ms;0;0;1;0;1;1
6.178 580 ms;0;0;1;0;0;1
6.179 370 ms;1;0;1;0;0;1
6.183 330 ms;1;0;1;0;0;0
6.183 530 ms;1;0;1;0;1;0
6.184 310 ms;0;0;1;0;1;0
6.185 830 ms;0;0;1;0;0;0
6.186 540 ms;0;0;0;0;0;0
6.248 760 ms;0;0;0;0;1;0
6.249 490 ms;0;0;1;0;1;0
6.251 660 ms;0;0;1;0;0;0
6.252 370 ms;0;0;0;0;0;0
6.352 280 ms;0;0;0;0;1;0
6.353 010 ms;0;0;1;0;1;0
