Times;CH3 CH 3;CH4 CH 4;CH5 CH 5
4.981 730 ms;1;0;1
4.985 880 ms;1;0;0
4.985 940 ms;0;0;0
5.004 430 ms;0;0;1
5.006 550 ms;0;0;0
5.090 690 ms;0;0;1
5.092 810 ms;0;0;0
5.159 710 ms;0;0;1
5.161 830 ms;0;0;0
5.194 210 ms;0;0;1
5.196 340 ms;0;0;0
5.258 810 ms;0;0;1
5.258 870 ms;1;0;1
5.263 010 ms;1;0;0
5.263 060 ms;0;0;0
5.332 240 ms;0;0;1
5.334 360 ms;0;0;0
5.435 760 ms;0;0;1
5.437 880 ms;0;0;0
5.522 030 ms;0;0;1
5.524 150 ms;0;0;0
5.535 950 ms;0;0;1
5.536 010 ms;1;0;1
5.540 160 ms;1;0;0
5.540 220 ms;0;0;0
5.608 290 ms;0;0;1
5.610 410 ms;0;0;0
5.694 560 ms;0;0;1
5.696 680 ms;0;0;0
5.780 820 ms;0;0;1
5.782 950 ms;0;0;0
5.813 090 ms;0;0;1
5.813 140 ms;1;0;1
5.817 280 ms;1;0;0
5.817 340 ms;0;0;0
5.867 090 ms;0;0;1
5.869 210 ms;0;0;0
5.953 350 ms;0;0;1
5.955 480 ms;0;0;0
6.039 620 ms;0;0;1
6.041 740 ms;0;0;0
6.056 870 ms;0;0;1
6.058 990 ms;0;0;0
6.090 230 ms;0;0;1
6.090 280 ms;1;0;1
6.094 430 ms;1;0;0
6.094 490 ms;0;0;0
6.186 280 ms;0;0;1
6.188 390 ms;0;0;0
6.238 040 ms;0;0;1
6.240 160 ms;0;0;0
6.367 360 ms;0;0;1
6.367 420 ms;1;0;1
6.371 550 ms;1;0;0
6.371 610 ms;0;0;0
6.384 680 ms;0;0;1
6.386 810 ms;0;0;0
6.470 950 ms;0;0;1
6.473 070 ms;0;0;0
6.493 320 ms;0;0;1
6.495 440 ms;0;0;0
6.579 590 ms;0;0;1
6.581 710 ms;0;0;0
6.648 600 ms;0;0;1
6.650 720 ms;0;0;0
6.738 330 ms;0;0;1
6.738 400 ms;1;0;1
6.742 540 ms;1;0;0
6.742 600 ms;0;0;0
6.752 120 ms;0;0;1
6.754 240 ms;0;0;0
6.838 390 ms;0;0;1
6.840 500 ms;0;0;0
6.924 650 ms;0;0;1
6.926 770 ms;0;0;0
6.976 410 ms;0;0;1
6.978 530 ms;0;0;0
7.015 480 ms;0;0;1
7.015 530 ms;1;0;1
7.022 020 ms;1;0;0
7.022 080 ms;0;0;0
7.028 170 ms;0;0;1
7.030 290 ms;0;0;0
7.166 190 ms;0;0;1
7.168 320 ms;0;0;0
7.200 700 ms;0;0;1
7.202 820 ms;0;0;0
7.292 610 ms;0;0;1
7.292 670 ms;1;0;1
7.299 170 ms;1;0;0
7.299 230 ms;0;0;0
7.313 060 ms;0;0;1
7.313 090 ms;0;1;1
7.315 900 ms;0;1;0
7.315 930 ms;0;0;0
7.355 980 ms;0;0;1
7.358 110 ms;0;0;0
7.374 200 ms;0;0;1
7.374 230 ms;0;1;1
7.379 510 ms;0;1;0
7.379 540 ms;0;0;0
7.381 020 ms;0;0;1
7.381 050 ms;0;1;1
7.394 220 ms;0;1;0
7.394 250 ms;0;0;0
7.395 760 ms;0;1;0
7.395 780 ms;1;1;0
7.442 220 ms;1;1;1
7.442 250 ms;1;0;1
7.442 280 ms;0;0;1
7.444 340 ms;0;0;0
7.511 230 ms;0;0;1
7.513 360 ms;0;0;0
7.569 720 ms;0;0;1
7.569 780 ms;1;0;1
7.574 240 ms;1;0;0
7.574 300 ms;0;0;0
7.606 130 ms;0;0;1
7.608 250 ms;0;0;0
7.675 170 ms;0;0;1
7.677 290 ms;0;0;0
7.726 930 ms;0;0;1
7.729 050 ms;0;0;0
7.846 890 ms;0;0;1
7.846 940 ms;1;0;1
7.851 090 ms;1;0;0
7.851 150 ms;0;0;0
7.873 580 ms;0;0;1
7.875 700 ms;0;0;0
7.959 840 ms;0;0;1
7.961 970 ms;0;0;0
8.046 110 ms;0;0;1
8.048 230 ms;0;0;0
8.124 020 ms;0;0;1
8.124 080 ms;1;0;1
8.128 210 ms;1;0;0
8.128 270 ms;0;0;0
8.132 380 ms;0;0;1
8.134 500 ms;0;0;0
8.218 640 ms;0;0;1
8.220 770 ms;0;0;0
8.304 910 ms;0;0;1
8.307 030 ms;0;0;0
8.373 920 ms;0;0;1
8.376 050 ms;0;0;0
8.401 160 ms;0;0;1
8.401 220 ms;1;0;1
8.405 370 ms;1;0;0
8.405 430 ms;0;0;0
8.468 810 ms;0;0;1
8.470 940 ms;0;0;0
8.563 710 ms;0;0;1
8.565 830 ms;0;0;0
8.649 970 ms;0;0;1
8.652 100 ms;0;0;0
8.678 290 ms;0;0;1
8.678 350 ms;1;0;1
8.682 490 ms;1;0;0
8.682 550 ms;0;0;0
8.736 240 ms;0;0;1
8.738 360 ms;0;0;0
8.822 500 ms;0;0;1
8.824 630 ms;0;0;0
8.908 770 ms;0;0;1
8.910 890 ms;0;0;0
8.955 440 ms;0;0;1
8.955 490 ms;1;0;1
8.959 640 ms;1;0;0
8.959 700 ms;0;0;0
8.995 040 ms;0;0;1
8.997 160 ms;0;0;0
9.081 310 ms;0;0;1
9.083 420 ms;0;0;0
9.167 570 ms;0;0;1
9.169 700 ms;0;0;0
9.184 820 ms;0;0;1
9.186 950 ms;0;0;0
9.232 570 ms;0;0;1
9.232 630 ms;1;0;1
9.236 760 ms;1;0;0
9.236 820 ms;0;0;0
9.331 480 ms;0;0;1
9.333 600 ms;0;0;0
9.426 370 ms;0;0;1
9.428 490 ms;0;0;0
9.509 710 ms;0;0;1
9.509 770 ms;1;0;1
9.513 910 ms;1;0;0
9.513 970 ms;0;0;0
9.515 460 ms;0;0;1
9.517 590 ms;0;0;0
9.598 900 ms;0;0;1
9.601 020 ms;0;0;0
9.685 170 ms;0;0;1
9.687 290 ms;0;0;0
9.771 430 ms;0;0;1
9.773 560 ms;0;0;0
9.786 840 ms;0;0;1
9.786 900 ms;1;0;1
9.791 040 ms;1;0;0
9.791 090 ms;0;0;0
9.857 700 ms;0;0;1
9.859 820 ms;0;0;0
9.943 960 ms;0;0;1
9.946 090 ms;0;0;0
10.018 450 ms;0;0;1
10.018 480 ms;0;1;1
10.020 010 ms;0;1;0
10.020 040 ms;0;0;0
10.030 230 ms;0;0;1
10.032 350 ms;0;0;0
10.047 490 ms;0;0;1
