Times;CH3 CH 3;CH4 CH 4;CH5 CH 5
341.250 688 ms;0;0;0
341.346 838 ms;0;0;1
341.348 948 ms;0;0;0
341.357 358 ms;0;0;1
341.359 278 ms;0;0;0
341.407 218 ms;0;0;1
341.409 338 ms;0;0;0
341.491 778 ms;0;0;1
341.491 798 ms;0;1;1
341.493 968 ms;0;1;0
341.493 998 ms;0;0;0
341.502 108 ms;0;0;1
341.504 228 ms;0;0;0
341.519 968 ms;0;0;1
341.520 028 ms;1;0;1
341.524 168 ms;1;0;0
341.524 228 ms;0;0;0
341.562 178 ms;0;0;1
341.562 218 ms;0;1;1
341.563 748 ms;0;1;0
341.563 778 ms;0;0;0
341.588 378 ms;0;0;1
341.590 498 ms;0;0;0
341.607 598 ms;0;0;1
341.607 628 ms;0;1;1
341.607 658 ms;1;1;1
341.609 608 ms;1;1;0
341.609 638 ms;1;0;0
341.609 668 ms;0;0;0
341.674 638 ms;0;0;1
341.676 768 ms;0;0;0
341.760 908 ms;0;0;1
341.762 798 ms;0;0;0
341.797 098 ms;0;0;1
341.797 158 ms;1;0;1
341.801 298 ms;1;0;0
341.801 358 ms;0;0;0
341.929 898 ms;0;0;1
341.931 818 ms;0;0;0
342.074 238 ms;0;0;1
342.074 298 ms;1;0;1
342.080 798 ms;1;0;0
342.080 858 ms;0;0;0
342.287 178 ms;0;0;1
342.287 208 ms;0;1;1
342.290 008 ms;0;1;0
342.290 048 ms;0;0;0
342.348 248 ms;0;0;1
342.348 278 ms;0;1;1
342.353 558 ms;0;1;0
342.353 588 ms;0;0;0
342.355 058 ms;0;0;1
342.355 088 ms;0;1;1
342.368 258 ms;0;1;0
342.368 298 ms;0;0;0
342.369 798 ms;0;0;1
342.369 858 ms;1;0;1
342.376 348 ms;1;0;0
342.376 408 ms;0;0;0
342.377 898 ms;0;1;0
342.377 928 ms;1;1;0
342.502 398 ms;1;1;1
342.502 438 ms;1;0;1
342.502 468 ms;0;0;1
342.504 318 ms;0;0;0
342.628 488 ms;0;0;1
342.628 538 ms;1;0;1
342.633 018 ms;1;0;0
342.633 078 ms;0;0;0
342.674 648 ms;0;0;1
342.676 768 ms;0;0;0
342.696 588 ms;0;0;1
342.698 708 ms;0;0;0
342.732 648 ms;0;0;1
342.734 768 ms;0;0;0
342.905 658 ms;0;0;1
342.905 708 ms;1;0;1
342.909 838 ms;1;0;0
342.909 898 ms;0;0;0
342.920 908 ms;0;0;1
342.923 028 ms;0;0;0
343.015 798 ms;0;0;1
343.017 918 ms;0;0;0
343.067 498 ms;0;0;1
343.067 528 ms;0;1;1
343.069 698 ms;0;1;0
343.069 718 ms;0;0;0
343.074 958 ms;0;0;1
343.076 878 ms;0;0;0
343.094 498 ms;0;0;1
343.094 518 ms;0;1;1
343.094 548 ms;1;1;1
343.095 858 ms;1;1;0
343.095 888 ms;1;0;0
343.095 918 ms;0;0;0
343.102 058 ms;0;0;1
343.104 188 ms;0;0;0
343.137 928 ms;0;0;1
343.137 958 ms;0;1;1
343.139 488 ms;0;1;0
343.139 528 ms;0;0;0
343.182 788 ms;0;0;1
343.182 848 ms;1;0;1
343.186 998 ms;1;0;0
343.187 058 ms;0;0;0
343.188 548 ms;0;0;1
343.190 658 ms;0;0;0
343.257 338 ms;0;0;1
343.259 468 ms;0;0;0
343.326 358 ms;0;0;1
343.328 478 ms;0;0;0
343.447 128 ms;0;0;1
343.449 248 ms;0;0;0
343.459 928 ms;0;0;1
343.459 978 ms;1;0;1
343.464 118 ms;1;0;0
343.464 178 ms;0;0;0
343.533 398 ms;0;0;1
343.535 518 ms;0;0;0
343.619 658 ms;0;0;1
343.621 788 ms;0;0;0
343.647 488 ms;0;0;1
343.649 398 ms;0;0;0
343.705 928 ms;0;0;1
343.708 048 ms;0;0;0
343.737 058 ms;0;0;1
343.737 118 ms;1;0;1
343.741 268 ms;1;0;0
343.741 328 ms;0;0;0
343.774 938 ms;0;0;1
343.777 058 ms;0;0;0
343.878 458 ms;0;0;1
343.880 588 ms;0;0;0
343.964 728 ms;0;0;1
343.966 848 ms;0;0;0
344.014 198 ms;0;0;1
344.014 258 ms;1;0;1
344.018 388 ms;1;0;0
344.018 458 ms;0;0;0
344.050 988 ms;0;0;1
344.053 118 ms;0;0;0
344.119 998 ms;0;0;1
344.122 128 ms;0;0;0
344.220 008 ms;0;0;1
344.221 928 ms;0;0;0
344.223 498 ms;0;0;1
344.225 618 ms;0;0;0
344.244 798 ms;0;0;1
344.244 828 ms;0;1;1
344.246 998 ms;0;1;0
344.247 028 ms;0;0;0
344.291 338 ms;0;0;1
344.291 398 ms;1;0;1
344.295 548 ms;1;0;0
344.295 608 ms;0;0;0
344.309 788 ms;0;0;1
344.311 918 ms;0;0;0
344.315 228 ms;0;0;1
344.315 258 ms;0;1;1
344.316 788 ms;0;1;0
344.316 828 ms;0;0;0
344.396 058 ms;0;0;1
344.398 178 ms;0;0;0
344.447 818 ms;0;0;1
344.449 938 ms;0;0;0
344.499 578 ms;0;0;1
344.501 698 ms;0;0;0
344.568 478 ms;0;0;1
344.568 538 ms;1;0;1
344.572 668 ms;1;0;0
344.572 718 ms;0;0;0
344.637 598 ms;0;0;1
344.639 718 ms;0;0;0
344.672 108 ms;0;0;1
344.674 228 ms;0;0;0
344.792 538 ms;0;0;1
344.794 458 ms;0;0;0
344.827 388 ms;0;0;1
344.829 508 ms;0;0;0
344.845 608 ms;0;0;1
344.845 668 ms;1;0;1
344.849 818 ms;1;0;0
344.849 878 ms;0;0;0
344.913 648 ms;0;0;1
344.915 778 ms;0;0;0
344.982 668 ms;0;0;1
344.984 788 ms;0;0;0
345.086 188 ms;0;0;1
345.088 308 ms;0;0;0
345.122 748 ms;0;0;1
345.122 808 ms;1;0;1
345.126 938 ms;1;0;0
345.126 998 ms;0;0;0
345.155 198 ms;0;0;1
345.157 318 ms;0;0;0
345.198 328 ms;0;0;1
345.200 458 ms;0;0;0
345.344 988 ms;0;0;1
345.347 098 ms;0;0;0
345.365 078 ms;0;0;1
345.366 998 ms;0;0;0
345.399 888 ms;0;0;1
345.399 938 ms;1;0;1
345.404 098 ms;1;0;0
345.404 148 ms;0;0;0
345.422 618 ms;0;0;1
345.424 738 ms;0;0;0
345.517 518 ms;0;0;1
345.519 638 ms;0;0;0
345.603 778 ms;0;0;1
345.605 908 ms;0;0;0
345.677 028 ms;0;0;1
345.677 078 ms;1;0;1
345.681 208 ms;1;0;0
345.681 268 ms;0;0;0
345.690 048 ms;0;0;1
345.692 168 ms;0;0;0
345.776 318 ms;0;0;1
345.778 438 ms;0;0;0
345.828 068 ms;0;0;1
345.830 198 ms;0;0;0
345.852 768 ms;0;0;1
345.852 798 ms;0;1;1
345.854 958 ms;0;1;0
345.854 988 ms;0;0;0
345.931 598 ms;0;0;1
345.933 708 ms;0;0;0
345.937 608 ms;0;0;1
345.939 528 ms;0;0;0
345.949 788 ms;0;0;1
345.949 818 ms;0;1;1
345.951 338 ms;0;1;0
345.951 368 ms;0;0;0
345.954 158 ms;0;0;1
345.954 218 ms;1;0;1
345.958 368 ms;1;0;0
345.958 428 ms;0;0;0
346.035 108 ms;0;0;1
346.037 238 ms;0;0;0
346.121 378 ms;0;0;1
346.123 498 ms;0;0;0
346.207 648 ms;0;0;1
346.209 768 ms;0;0;0
346.231 298 ms;0;0;1
346.231 358 ms;1;0;1
346.235 488 ms;1;0;0
346.235 548 ms;0;0;0
346.293 908 ms;0;0;1
346.296 038 ms;0;0;0
346.380 178 ms;0;0;1
346.382 298 ms;0;0;0
346.466 438 ms;0;0;1
346.468 568 ms;0;0;0
346.508 438 ms;0;0;1
346.508 498 ms;1;0;1
346.512 638 ms;1;0;0
346.512 698 ms;0;0;0
346.514 188 ms;0;0;1
346.516 108 ms;0;0;0
346.552 708 ms;0;0;1
346.554 828 ms;0;0;0
346.638 978 ms;0;0;1
346.641 098 ms;0;0;0
346.656 228 ms;0;0;1
346.658 348 ms;0;0;0
346.785 568 ms;0;0;1
346.785 628 ms;1;0;1
346.789 768 ms;1;0;0
346.789 828 ms;0;0;0
346.802 878 ms;0;0;1
346.805 008 ms;0;0;0
346.897 768 ms;0;0;1
346.899 898 ms;0;0;0
346.984 038 ms;0;0;1
346.986 158 ms;0;0;0
347.056 318 ms;0;0;1
347.056 348 ms;0;1;1
347.058 678 ms;0;1;0
347.058 708 ms;0;0;0
347.062 708 ms;0;0;1
347.062 768 ms;1;0;1
347.069 268 ms;1;0;0
347.069 328 ms;0;0;0
347.070 818 ms;0;0;1
347.072 948 ms;0;0;0
347.082 658 ms;0;0;1
347.084 578 ms;0;0;0
347.126 738 ms;0;0;1
347.126 768 ms;0;1;1
347.128 298 ms;0;1;0
347.128 328 ms;0;0;0
347.156 568 ms;0;0;1
347.158 688 ms;0;0;0
347.242 838 ms;0;0;1
347.244 958 ms;0;0;0
347.286 818 ms;0;0;1
347.286 838 ms;0;1;1
347.289 648 ms;0;1;0
347.289 678 ms;0;0;0
347.329 108 ms;0;0;1
347.331 228 ms;0;0;0
347.339 848 ms;0;0;1
347.339 908 ms;1;0;1
347.346 388 ms;1;0;0
347.346 458 ms;0;0;0
347.347 768 ms;0;0;1
347.347 798 ms;0;1;1
347.353 078 ms;0;1;0
347.353 108 ms;0;0;0
347.354 578 ms;0;0;1
347.354 618 ms;0;1;1
347.367 788 ms;0;1;0
347.367 818 ms;0;0;0
347.369 538 ms;0;1;0
347.369 568 ms;1;1;0
347.415 338 ms;1;1;1
347.415 378 ms;1;0;1
347.415 408 ms;0;0;1
347.417 468 ms;0;0;0
347.501 608 ms;0;0;1
347.503 728 ms;0;0;0
347.518 858 ms;0;0;1
347.520 978 ms;0;0;0
347.616 958 ms;0;0;1
347.617 008 ms;1;0;1
347.621 488 ms;1;0;0
347.621 548 ms;0;0;0
347.655 188 ms;0;0;1
347.657 108 ms;0;0;0
347.665 548 ms;0;0;1
347.667 668 ms;0;0;0
347.760 438 ms;0;0;1
347.762 558 ms;0;0;0
347.846 698 ms;0;0;1
347.848 828 ms;0;0;0
347.894 118 ms;0;0;1
347.894 178 ms;1;0;1
347.898 308 ms;1;0;0
347.898 368 ms;0;0;0
347.932 968 ms;0;0;1
347.935 088 ms;0;0;0
348.010 608 ms;0;0;1
348.012 728 ms;0;0;0
348.088 248 ms;0;0;1
348.090 138 ms;0;0;0
348.171 258 ms;0;0;1
348.171 318 ms;1;0;1
348.175 458 ms;1;0;0
348.175 518 ms;0;0;0
348.227 718 ms;0;0;1
348.229 638 ms;0;0;0
348.448 398 ms;0;0;1
348.448 448 ms;1;0;1
348.452 588 ms;1;0;0
348.452 648 ms;0;0;0
348.617 798 ms;0;0;1
348.617 828 ms;0;1;1
348.619 988 ms;0;1;0
348.620 018 ms;0;0;0
348.725 528 ms;0;0;1
348.725 588 ms;1;0;1
348.729 738 ms;1;0;0
348.729 798 ms;0;0;0
348.800 258 ms;0;0;1
348.802 178 ms;0;0;0
349.002 668 ms;0;0;1
349.002 728 ms;1;0;1
349.006 858 ms;1;0;0
349.006 918 ms;0;0;0
349.279 808 ms;0;0;1
349.279 858 ms;1;0;1
349.284 018 ms;1;0;0
349.284 068 ms;0;0;0
349.372 788 ms;0;0;1
349.374 708 ms;0;0;0
349.556 948 ms;0;0;1
349.556 998 ms;1;0;1
349.561 128 ms;1;0;0
349.561 188 ms;0;0;0
349.834 078 ms;0;0;1
349.834 138 ms;1;0;1
349.838 288 ms;1;0;0
349.838 348 ms;0;0;0
349.945 308 ms;0;0;1
349.947 238 ms;0;0;0
350.111 218 ms;0;0;1
350.111 278 ms;1;0;1
350.115 408 ms;1;0;0
350.115 468 ms;0;0;0
350.388 348 ms;0;0;1
350.388 408 ms;1;0;1
350.392 558 ms;1;0;0
350.392 618 ms;0;0;0
350.517 838 ms;0;0;1
350.519 758 ms;0;0;0
350.665 488 ms;0;0;1
350.665 548 ms;1;0;1
350.669 678 ms;1;0;0
350.669 738 ms;0;0;0
350.942 628 ms;0;0;1
350.942 688 ms;1;0;1
350.946 838 ms;1;0;0
350.946 898 ms;0;0;0
351.090 368 ms;0;0;1
351.092 288 ms;0;0;0
351.219 758 ms;0;0;1
351.219 818 ms;1;0;1
351.223 948 ms;1;0;0
351.224 008 ms;0;0;0
351.496 908 ms;0;0;1
351.496 958 ms;1;0;1
351.501 108 ms;1;0;0
351.501 168 ms;0;0;0
351.662 908 ms;0;0;1
351.664 828 ms;0;0;0
351.774 038 ms;0;0;1
351.774 098 ms;1;0;1
351.778 228 ms;1;0;0
351.778 288 ms;0;0;0
352.051 178 ms;0;0;1
352.051 238 ms;1;0;1
352.057 738 ms;1;0;0
352.057 798 ms;0;0;0
352.235 428 ms;0;0;1
352.237 358 ms;0;0;0
352.286 438 ms;0;0;1
352.286 468 ms;0;1;1
352.289 268 ms;0;1;0
352.289 298 ms;0;0;0
352.328 308 ms;0;0;1
352.328 368 ms;1;0;1
352.334 858 ms;1;0;0
352.334 918 ms;0;0;0
352.347 348 ms;0;0;1
352.347 378 ms;0;1;1
352.352 658 ms;0;1;0
352.352 688 ms;0;0;0
352.354 168 ms;0;0;1
352.354 198 ms;0;1;1
352.367 368 ms;0;1;0
352.367 398 ms;0;0;0
352.368 898 ms;0;1;0
352.368 928 ms;1;1;0
352.605 428 ms;1;1;1
352.605 458 ms;1;0;1
352.609 958 ms;1;0;0
352.610 018 ms;0;0;0
352.710 208 ms;0;0;1
352.712 338 ms;0;0;0
352.732 148 ms;0;0;1
352.734 268 ms;0;0;0
352.764 158 ms;0;0;1
352.766 278 ms;0;0;0
352.807 938 ms;0;0;1
352.809 848 ms;0;0;0
352.855 878 ms;0;0;1
352.857 998 ms;0;0;0
352.882 588 ms;0;0;1
352.882 648 ms;1;0;1
352.886 778 ms;1;0;0
352.886 838 ms;0;0;0
353.051 368 ms;0;0;1
353.053 488 ms;0;0;0
353.137 628 ms;0;0;1
353.139 748 ms;0;0;0
353.159 728 ms;0;0;1
353.159 788 ms;1;0;1
353.163 928 ms;1;0;0
353.163 988 ms;0;0;0
353.223 898 ms;0;0;1
353.226 018 ms;0;0;0
353.301 538 ms;0;0;1
353.303 658 ms;0;0;0
353.370 548 ms;0;0;1
353.372 668 ms;0;0;0
353.380 488 ms;0;0;1
353.382 408 ms;0;0;0
353.436 858 ms;0;0;1
353.436 918 ms;1;0;1
353.441 058 ms;1;0;0
353.441 118 ms;0;0;0
353.474 068 ms;0;0;1
353.476 188 ms;0;0;0
353.568 958 ms;0;0;1
353.571 078 ms;0;0;0
353.655 228 ms;0;0;1
353.657 348 ms;0;0;0
353.713 998 ms;0;0;1
353.714 058 ms;1;0;1
353.718 198 ms;1;0;0
353.718 258 ms;0;0;0
353.741 488 ms;0;0;1
353.743 618 ms;0;0;0
353.819 128 ms;0;0;1
353.821 258 ms;0;0;0
353.914 028 ms;0;0;1
353.916 148 ms;0;0;0
353.953 018 ms;0;0;1
353.954 938 ms;0;0;0
353.991 138 ms;0;0;1
353.991 198 ms;1;0;1
353.995 328 ms;1;0;0
353.995 388 ms;0;0;0
354.000 288 ms;0;0;1
354.002 408 ms;0;0;0
354.086 558 ms;0;0;1
354.088 678 ms;0;0;0
354.172 818 ms;0;0;1
354.174 948 ms;0;0;0
354.259 088 ms;0;0;1
354.261 208 ms;0;0;0
354.268 268 ms;0;0;1
354.268 328 ms;1;0;1
354.272 478 ms;1;0;0
354.272 538 ms;0;0;0
354.345 358 ms;0;0;1
354.347 478 ms;0;0;0
354.431 618 ms;0;0;1
354.433 738 ms;0;0;0
354.500 638 ms;0;0;1
354.502 758 ms;0;0;0
354.525 538 ms;0;0;1
354.527 458 ms;0;0;0
354.545 408 ms;0;0;1
354.545 468 ms;1;0;1
354.549 598 ms;1;0;0
354.549 658 ms;0;0;0
354.586 898 ms;0;0;1
354.589 018 ms;0;0;0
354.690 418 ms;0;0;1
354.692 548 ms;0;0;0
354.776 688 ms;0;0;1
354.778 808 ms;0;0;0
354.822 548 ms;0;0;1
354.822 608 ms;1;0;1
354.826 748 ms;1;0;0
354.826 818 ms;0;0;0
354.862 958 ms;0;0;1
354.865 078 ms;0;0;0
354.949 218 ms;0;0;1
354.951 338 ms;0;0;0
355.026 858 ms;0;0;1
355.028 978 ms;0;0;0
355.098 068 ms;0;0;1
355.099 718 ms;1;0;1
355.103 848 ms;1;0;0
355.103 908 ms;0;0;0
355.121 748 ms;0;0;1
355.123 878 ms;0;0;0
355.147 628 ms;0;0;1
355.149 758 ms;0;0;0
355.294 278 ms;0;0;1
355.296 408 ms;0;0;0
355.371 918 ms;0;0;1
355.374 048 ms;0;0;0
355.376 818 ms;0;0;1
355.376 878 ms;1;0;1
355.381 028 ms;1;0;0
355.381 088 ms;0;0;0
355.466 818 ms;0;0;1
355.468 938 ms;0;0;0
355.553 078 ms;0;0;1
355.555 198 ms;0;0;0
355.639 348 ms;0;0;1
355.641 468 ms;0;0;0
355.653 958 ms;0;0;1
355.654 018 ms;1;0;1
355.658 148 ms;1;0;0
355.658 208 ms;0;0;0
355.670 608 ms;0;0;1
355.672 538 ms;0;0;0
355.708 358 ms;0;0;1
355.710 488 ms;0;0;0
355.777 378 ms;0;0;1
355.779 488 ms;0;0;0
355.898 148 ms;0;0;1
355.900 268 ms;0;0;0
355.931 098 ms;0;0;1
355.931 148 ms;1;0;1
355.935 298 ms;1;0;0
355.935 358 ms;0;0;0
355.984 408 ms;0;0;1
355.986 528 ms;0;0;0
356.070 678 ms;0;0;1
356.072 798 ms;0;0;0
356.156 938 ms;0;0;1
356.159 068 ms;0;0;0
356.208 238 ms;0;0;1
356.208 288 ms;1;0;1
356.212 418 ms;1;0;0
356.212 478 ms;0;0;0
356.225 958 ms;0;0;1
356.228 078 ms;0;0;0
356.243 138 ms;0;0;1
356.245 058 ms;0;0;0
356.329 478 ms;0;0;1
356.331 598 ms;0;0;0
356.415 748 ms;0;0;1
356.417 858 ms;0;0;0
356.485 368 ms;0;0;1
356.485 428 ms;1;0;1
356.489 578 ms;1;0;0
356.489 638 ms;0;0;0
356.502 008 ms;0;0;1
356.504 128 ms;0;0;0
356.571 018 ms;0;0;1
356.573 148 ms;0;0;0
356.674 538 ms;0;0;1
356.676 668 ms;0;0;0
356.760 808 ms;0;0;1
356.762 538 ms;1;0;1
356.766 668 ms;1;0;0
356.766 728 ms;0;0;0
356.815 668 ms;0;0;1
356.817 588 ms;0;0;0
356.848 948 ms;0;0;1
356.851 068 ms;0;0;0
356.909 328 ms;0;0;1
356.911 448 ms;0;0;0
357.021 478 ms;0;0;1
357.023 598 ms;0;0;0
357.039 638 ms;0;0;1
357.039 698 ms;1;0;1
357.046 208 ms;1;0;0
357.046 268 ms;0;0;0
357.090 488 ms;0;0;1
357.092 608 ms;0;0;0
357.194 008 ms;0;0;1
357.196 128 ms;0;0;0
357.280 268 ms;0;0;1
357.282 398 ms;0;0;0
357.286 068 ms;0;0;1
357.286 098 ms;0;1;1
357.288 908 ms;0;1;0
357.288 938 ms;0;0;0
357.316 778 ms;0;0;1
357.316 838 ms;1;0;1
357.323 328 ms;1;0;0
357.323 388 ms;0;0;0
357.346 898 ms;0;0;1
357.346 938 ms;0;1;1
357.352 208 ms;0;1;0
357.352 238 ms;0;0;0
357.353 718 ms;0;0;1
357.353 738 ms;0;1;1
357.367 628 ms;0;1;0
357.367 668 ms;0;0;0
357.369 168 ms;0;0;1
357.371 288 ms;0;0;0
357.372 808 ms;0;1;0
357.372 838 ms;1;1;0
357.388 158 ms;1;1;1
357.388 198 ms;1;0;1
357.388 228 ms;0;0;1
357.390 088 ms;0;0;0
357.435 528 ms;0;0;1
357.437 648 ms;0;0;0
357.464 978 ms;0;0;1
357.465 008 ms;0;1;1
357.465 028 ms;1;1;1
357.466 958 ms;1;1;0
357.466 988 ms;1;0;0
357.467 008 ms;0;0;0
357.470 028 ms;0;0;1
357.472 158 ms;0;0;0
357.593 888 ms;0;0;1
357.593 948 ms;1;0;1
357.598 428 ms;1;0;0
357.598 488 ms;0;0;0
357.616 688 ms;0;0;1
357.618 808 ms;0;0;0
357.711 608 ms;0;0;1
357.713 728 ms;0;0;0
357.737 488 ms;0;0;1
357.739 608 ms;0;0;0
357.871 058 ms;0;0;1
357.871 118 ms;1;0;1
357.875 248 ms;1;0;0
357.875 308 ms;0;0;0
357.884 138 ms;0;0;1
357.886 258 ms;0;0;0
357.960 718 ms;0;0;1
357.962 648 ms;0;0;0
357.964 158 ms;0;0;1
357.966 288 ms;0;0;0
358.056 668 ms;0;0;1
358.058 798 ms;0;0;0
358.142 938 ms;0;0;1
358.145 058 ms;0;0;0
358.148 188 ms;0;0;1
358.148 248 ms;1;0;1
358.152 398 ms;1;0;0
358.152 458 ms;0;0;0
358.229 208 ms;0;0;1
358.231 328 ms;0;0;0
358.298 218 ms;0;0;1
358.300 338 ms;0;0;0
358.367 228 ms;0;0;1
358.369 348 ms;0;0;0
358.425 328 ms;0;0;1
358.425 388 ms;1;0;1
358.429 518 ms;1;0;0
358.429 578 ms;0;0;0
358.487 998 ms;0;0;1
358.490 128 ms;0;0;0
358.533 258 ms;0;0;1
358.535 188 ms;0;0;0
358.573 978 ms;0;0;1
358.574 018 ms;0;1;1
358.574 038 ms;1;1;1
358.575 988 ms;1;1;0
358.576 018 ms;1;0;0
358.576 038 ms;0;0;0
358.577 508 ms;0;0;1
358.579 628 ms;0;0;0
358.660 528 ms;0;0;1
358.662 658 ms;0;0;0
358.702 468 ms;0;0;1
358.702 528 ms;1;0;1
358.706 668 ms;1;0;0
358.706 728 ms;0;0;0
358.746 798 ms;0;0;1
358.748 918 ms;0;0;0
358.824 438 ms;0;0;1
358.826 558 ms;0;0;0
358.919 328 ms;0;0;1
358.921 458 ms;0;0;0
358.979 598 ms;0;0;1
358.979 658 ms;1;0;1
358.983 798 ms;1;0;0
358.983 858 ms;0;0;0
359.005 598 ms;0;0;1
359.007 718 ms;0;0;0
359.057 358 ms;0;0;1
359.059 478 ms;0;0;0
359.105 788 ms;0;0;1
359.107 708 ms;0;0;0
359.152 248 ms;0;0;1
359.154 368 ms;0;0;0
359.256 738 ms;0;0;1
359.256 798 ms;1;0;1
359.260 948 ms;1;0;0
359.261 008 ms;0;0;0
359.264 398 ms;0;0;1
359.266 518 ms;0;0;0
359.333 408 ms;0;0;1
359.335 528 ms;0;0;0
359.436 928 ms;0;0;1
359.439 048 ms;0;0;0
359.523 188 ms;0;0;1
359.525 318 ms;0;0;0
359.533 878 ms;0;0;1
359.533 938 ms;1;0;1
359.538 068 ms;1;0;0
359.538 128 ms;0;0;0
359.592 208 ms;0;0;1
359.594 328 ms;0;0;0
359.678 318 ms;0;0;1
359.680 238 ms;0;0;0
359.695 728 ms;0;0;1
359.697 848 ms;0;0;0
359.781 998 ms;0;0;1
359.784 108 ms;0;0;0
359.811 018 ms;0;0;1
359.811 078 ms;1;0;1
359.815 218 ms;1;0;0
359.815 278 ms;0;0;0
359.851 008 ms;0;0;1
359.853 128 ms;0;0;0
359.954 528 ms;0;0;1
359.956 648 ms;0;0;0
360.032 168 ms;0;0;1
360.034 288 ms;0;0;0
360.065 898 ms;0;0;1
360.065 928 ms;0;1;1
360.065 958 ms;1;1;1
360.067 908 ms;1;1;0
360.067 938 ms;1;0;0
360.067 958 ms;0;0;0
360.088 148 ms;0;0;1
360.088 208 ms;1;0;1
360.092 348 ms;1;0;0
360.092 408 ms;0;0;0
360.118 428 ms;0;0;1
360.120 558 ms;0;0;0
360.213 328 ms;0;0;1
360.215 448 ms;0;0;0
360.250 838 ms;0;0;1
360.252 768 ms;0;0;0
360.282 338 ms;0;0;1
360.284 458 ms;0;0;0
360.365 288 ms;0;0;1
360.365 348 ms;1;0;1
360.369 488 ms;1;0;0
360.369 548 ms;0;0;0
360.385 858 ms;0;0;1
360.387 978 ms;0;0;0
360.454 868 ms;0;0;1
360.456 988 ms;0;0;0
360.541 138 ms;0;0;1
360.543 258 ms;0;0;0
360.627 398 ms;0;0;1
360.629 528 ms;0;0;0
360.642 428 ms;0;0;1
360.642 488 ms;1;0;1
360.646 618 ms;1;0;0
360.646 678 ms;0;0;0
360.730 918 ms;0;0;1
360.733 038 ms;0;0;0
360.808 558 ms;0;0;1
360.810 458 ms;0;0;0
360.823 368 ms;0;0;1
360.825 298 ms;0;0;0
360.919 558 ms;0;0;1
360.919 618 ms;1;0;1
360.923 768 ms;1;0;0
360.923 828 ms;0;0;0
361.196 698 ms;0;0;1
361.196 758 ms;1;0;1
361.200 888 ms;1;0;0
361.200 948 ms;0;0;0
361.395 908 ms;0;0;1
361.397 838 ms;0;0;0
361.473 838 ms;0;0;1
361.473 898 ms;1;0;1
361.478 048 ms;1;0;0
361.478 108 ms;0;0;0
361.605 348 ms;0;0;1
361.605 378 ms;0;1;1
361.605 398 ms;1;1;1
361.607 358 ms;1;1;0
361.607 388 ms;1;0;0
361.607 418 ms;0;0;0
361.750 978 ms;0;0;1
361.751 028 ms;1;0;1
361.755 168 ms;1;0;0
361.755 228 ms;0;0;0
361.968 438 ms;0;0;1
361.970 358 ms;0;0;0
362.008 818 ms;0;0;1
362.008 848 ms;0;1;1
362.010 378 ms;0;1;0
362.010 418 ms;0;0;0
362.028 108 ms;0;0;1
362.028 168 ms;1;0;1
362.034 668 ms;1;0;0
362.034 728 ms;0;0;0
362.285 668 ms;0;0;1
362.285 698 ms;0;1;1
362.288 498 ms;0;1;0
362.288 528 ms;0;0;0
362.305 248 ms;0;0;1
362.305 308 ms;1;0;1
362.311 798 ms;1;0;0
362.311 858 ms;0;0;0
362.346 448 ms;0;0;1
362.346 478 ms;0;1;1
362.351 758 ms;0;1;0
362.351 788 ms;0;0;0
362.353 268 ms;0;0;1
362.353 298 ms;0;1;1
362.366 468 ms;0;1;0
362.366 498 ms;0;0;0
362.368 008 ms;0;1;0
362.368 028 ms;1;1;0
362.540 938 ms;1;1;1
362.540 978 ms;1;0;1
362.540 998 ms;0;0;1
362.542 858 ms;0;0;0
362.582 358 ms;0;0;1
362.582 418 ms;1;0;1
362.586 898 ms;1;0;0
362.586 958 ms;0;0;0
362.761 928 ms;0;0;1
362.764 048 ms;0;0;0
362.783 868 ms;0;0;1
362.785 988 ms;0;0;0
362.818 208 ms;0;0;1
362.820 328 ms;0;0;0
362.872 518 ms;0;0;1
362.872 578 ms;1;0;1
362.876 708 ms;1;0;0
362.876 768 ms;0;0;0
362.878 258 ms;0;0;1
362.880 378 ms;0;0;0
363.093 728 ms;0;0;1
363.093 758 ms;0;1;1
363.093 778 ms;1;1;1
363.095 098 ms;1;1;0
363.095 128 ms;1;0;0
363.095 148 ms;0;0;0
363.103 088 ms;0;0;1
363.105 198 ms;0;0;0
363.113 498 ms;0;0;1
363.115 418 ms;0;0;0
363.136 658 ms;0;0;1
363.136 718 ms;1;0;1
363.140 868 ms;1;0;0
363.140 928 ms;0;0;0
363.189 348 ms;0;0;1
363.191 468 ms;0;0;0
363.275 618 ms;0;0;1
363.277 738 ms;0;0;0
363.344 628 ms;0;0;1
363.346 748 ms;0;0;0
363.413 768 ms;0;0;1
363.413 828 ms;1;0;1
363.417 958 ms;1;0;0
363.418 018 ms;0;0;0
363.419 408 ms;0;0;1
363.421 528 ms;0;0;0
363.490 748 ms;0;0;1
363.490 778 ms;0;1;1
363.492 948 ms;0;1;0
363.492 978 ms;0;0;0
363.534 418 ms;0;0;1
363.536 538 ms;0;0;0
363.561 168 ms;0;0;1
363.561 188 ms;0;1;1
363.562 728 ms;0;1;0
363.562 758 ms;0;0;0
363.620 678 ms;0;0;1
363.622 798 ms;0;0;0
363.686 018 ms;0;0;1
363.687 938 ms;0;0;0
363.690 938 ms;0;0;1
363.690 988 ms;1;0;1
363.695 138 ms;1;0;0
363.695 198 ms;0;0;0
363.698 318 ms;0;0;1
363.700 438 ms;0;0;0
